ACRS Report Type,Date and Time,Route Type,Road Name,Municipality,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver At Fault,Injury Severity,Driver Distracted By,Vehicle Body Type,Vehicle Movement,Vehicle Continuing Dir,Vehicle Going Dir,Speed Limit,Vehicle Year,Vehicle Make,Wind Speed (MPH),TMP10-DK ,Relative Humidity (%),Rain (Inches)
Injury Crash,08-10-2022 12:45,County,RANDOLPH RD,N/A,SAME DIRECTION RIGHT TURN,RAINING,WET,DAYLIGHT,TRAFFIC SIGNAL,Yes,POSSIBLE INJURY,LOOKED BUT DID NOT SEE,PASSENGER CAR,CHANGING LANES,East,East,35,1996,TOYOTA,2.4,88,28.1,0
Property Damage Crash,08-10-2022 13:45,,,,SINGLE VEHICLE,CLEAR,,DAYLIGHT,NO CONTROLS,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,POLICE VEHICLE/NON EMERGENCY,STARTING FROM PARKED,West,West,15,2016,FORD,8.8,175,5.6,0
Property Damage Crash,08-10-2022 14:10,US (State),COLUMBIA PIKE,N/A,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,NO APPARENT INJURY,UNKNOWN,PASSENGER CAR,CHANGING LANES,North,North,50,2018,KIA,0,0,0,0
Property Damage Crash,08-10-2022 14:10,,,,STRAIGHT MOVEMENT ANGLE,RAINING,,DUSK,N/A,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,Unknown,Unknown,15,2006,NISSAN,5.2,42.3,39.9,0
Property Damage Crash,08-10-2022 16:45,County,TUCKERMAN LA,N/A,SINGLE VEHICLE,SNOW,WET,DAYLIGHT,N/A,Yes,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MAKING RIGHT TURN,East,East,40,2010,HOND,2.2,37.7,18.6,0
Injury Crash,08-10-2022 16:45,US (State),COLUMBIA PIKE,N/A,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,No,POSSIBLE INJURY,UNKNOWN,PICKUP TRUCK,MOVING CONSTANT SPEED,South,South,50,2009,CHEVROLET,6.5,337,33.2,0
Property Damage Crash,08-10-2022 17:44,County,CARROLL AVE,N/A,SAME DIR REAR END,N/A,DRY,DARK LIGHTS ON,NO CONTROLS,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,STOPPED IN TRAFFIC LANE,North,North,30,2006,HONDA,0,0,0,0
Property Damage Crash,08-10-2022 17:44,Maryland (State),RIDGE RD,N/A,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,STOPPED IN TRAFFIC LANE,South,South,40,2012,NISSAN,0,0,0,0
Property Damage Crash,08-10-2022 18:08,County,WATKINS MILL RD,N/A,SAME DIR REAR END,N/A,DRY,DARK NO LIGHTS,N/A,Yes,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,North,North,25,2017,LEXUS,8.4,184,28.8,0
Injury Crash,08-10-2022 18:30,County,HIGH CORNER ST,N/A,SINGLE VEHICLE,CLEAR,WET,DARK LIGHTS ON,N/A,Yes,POSSIBLE INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,East,East,30,2016,NISS,0,0,0,0
Injury Crash,08-10-2022 19:30,Maryland (State),CONNECTICUT AVE,CHEVY CHASE #4,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,OTHER,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,PASSENGER CAR,MAKING LEFT TURN,West,North,30,2016,MERCEDES,4.5,53.8,53.3,0
Property Damage Crash,08-10-2022 20:00,,,,SAME DIRECTION SIDESWIPE,CLEAR,,DAYLIGHT,NO CONTROLS,Yes,NO APPARENT INJURY,UNKNOWN,UNKNOWN,STARTING FROM PARKED,North,North,5,0,UNKNOWN,1.5,65.6,59,0
Injury Crash,09-10-2022 00:13,US (State),COLUMBIA PIKE,N/A,SAME DIR REAR END,RAINING,WET,DAYLIGHT,TRAFFIC SIGNAL,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,SLOWING OR STOPPING,South,South,45,2007,TOYT,8.3,56.6,48.1,0
Injury Crash,09-10-2022 00:13,Maryland (State),OLD GEORGETOWN RD,N/A,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,North,East,35,2019,HYUN,9.3,82.8,54.4,0
Property Damage Crash,09-10-2022 03:34,County,TUCKERMAN LA,N/A,SINGLE VEHICLE,RAINING,WET,DAYLIGHT,TRAFFIC SIGNAL,Yes,NO APPARENT INJURY,NOT DISTRACTED,(SPORT) UTILITY VEHICLE,ACCELERATING,South,West,40,2011,NISSAN,4.1,61.3,25.6,0
Property Damage Crash,09-10-2022 06:59,County,STEDWICK RD,N/A,SAME DIR REAR END,CLOUDY,WET,DAYLIGHT,N/A,No,NO APPARENT INJURY,NOT DISTRACTED,(SPORT) UTILITY VEHICLE,MOVING CONSTANT SPEED,East,East,25,2014,CHEV,2.5,47.5,34,0
Property Damage Crash,09-10-2022 07:19,US (State),COLUMBIA PIKE,N/A,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,YIELD SIGN,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,PASSENGER CAR,ACCELERATING,South,South,50,2013,TOYT,3.7,66.9,57.3,0
Property Damage Crash,09-10-2022 07:19,County,WATKINS MILL RD,N/A,SINGLE VEHICLE,CLEAR,N/A,DUSK,NO CONTROLS,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,PASSENGER CAR,MOVING CONSTANT SPEED,South,South,35,2010,TOYOTA,4.6,64.5,46.2,0
Property Damage Crash,09-10-2022 07:44,US (State),COLESVILLE RD,N/A,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,ACCELERATING,South,South,40,2004,LEXUS,1.4,52.6,47,0
Property Damage Crash,09-10-2022 08:30,Maryland (State),UNIVERSITY BLVD W,N/A,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,PASSENGER CAR,STARTING FROM PARKED,West,West,10,2005,NISS,5.1,66.5,58.2,0
Property Damage Crash,09-10-2022 08:30,Maryland (State),WOODFIELD RD,N/A,SAME DIR REAR END,N/A,DRY,DAYLIGHT,NO CONTROLS,Yes,NO APPARENT INJURY,INATTENTIVE OR LOST IN THOUGHT,PASSENGER CAR,MOVING CONSTANT SPEED,North,North,45,2006,PONT,3.2,55.4,47.2,0
Property Damage Crash,09-10-2022 11:58,County,OLD COLUMBIA PIKE,N/A,STRAIGHT MOVEMENT ANGLE,CLOUDY,DRY,DAYLIGHT,STOP SIGN,No,NO APPARENT INJURY,NOT DISTRACTED,VAN,MOVING CONSTANT SPEED,South,South,35,1999,CHEVROLET,1.1,63.9,54.9,0
Property Damage Crash,09-10-2022 14:27,County,FALLS RD,N/A,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,PASSENGER CAR,MAKING LEFT TURN,West,North,30,2014,MAZD,1.5,48.1,44.9,0
Property Damage Crash,09-10-2022 14:45,US (State),COLUMBIA PIKE,N/A,HEAD ON LEFT TURN,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,North,North,35,2017,HONDA,6.7,75.5,46,0
Injury Crash,09-10-2022 14:45,County,GREAT SENECA HWY,N/A,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,SUSPECTED MINOR INJURY,NOT DISTRACTED,PASSENGER CAR,STOPPED IN TRAFFIC LANE,South,South,50,2007,HONDA,1.8,62.7,41.4,0
Injury Crash,09-10-2022 17:30,County,DEMOCRACY BLVD,N/A,SAME DIR REAR END,N/A,DRY,DAYLIGHT,OTHER,Yes,NO APPARENT INJURY,UNKNOWN,(SPORT) UTILITY VEHICLE,SLOWING OR STOPPING,North,West,30,2016,ACURA,0.7,57.1,52.3,0
Property Damage Crash,09-10-2022 17:30,Maryland (State),NEW HAMPSHIRE AVE,N/A,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,No,NO APPARENT INJURY,NOT DISTRACTED,(SPORT) UTILITY VEHICLE,STOPPED IN TRAFFIC LANE,South,South,40,2015,TOYOTA,4.5,52,25.6,0
Property Damage Crash,09-10-2022 17:30,County,FEATHERWOOD ST,N/A,STRAIGHT MOVEMENT ANGLE,N/A,WET,DAWN,NO CONTROLS,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,East,East,30,2010,DODGE,3,58.9,56.5,0
Property Damage Crash,09-10-2022 17:37,Maryland (State),OLNEY SANDY SPRING RD,N/A,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,STOP SIGN,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,PASSENGER CAR,MAKING LEFT TURN,South,West,15,2017,GMC,5.4,40.5,33.6,0
Injury Crash,09-10-2022 18:00,Maryland (State),FREDERICK RD,GAITHERSBURG,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,Yes,SUSPECTED MINOR INJURY,NOT DISTRACTED,PASSENGER CAR,ACCELERATING,South,South,40,2004,CHRYSLER,8.4,77.1,65.9,0
Injury Crash,09-10-2022 18:00,Maryland (State),RIVER RD,N/A,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,Yes,NO APPARENT INJURY,BY OTHER OCCUPANTS,(SPORT) UTILITY VEHICLE,SLOWING OR STOPPING,South,South,45,2015,CHEVORLET,3,80.4,50.2,0
Property Damage Crash,09-10-2022 18:00,County,BRINK RD,N/A,OPPOSITE DIR BOTH LEFT TURN,RAINING,WET,DAWN,N/A,Yes,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,North,North,35,1996,MERCEDES,1.2,63.5,57.3,0
Property Damage Crash,09-10-2022 18:56,County,PRICHARD RD,N/A,SAME DIR REAR END,N/A,DRY,DARK LIGHTS ON,NO CONTROLS,Yes,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,PARKING,West,West,20,2007,TOYOTA,2.4,52.4,48.2,0
Property Damage Crash,09-10-2022 19:21,Maryland (State),MONTGOMERY VILLAGE AVE,N/A,HEAD ON,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,North,North,35,2014,TOYT,1.9,42,33.2,0
Property Damage Crash,09-10-2022 19:21,,,,SAME DIR REAR END,CLEAR,,DARK LIGHTS ON,N/A,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,PARKED,,,5,2014,TOYOTA,6.4,49.8,49.8,0.03
Injury Crash,09-10-2022 19:25,Municipality,TOWER OAKS BLVD,N/A,HEAD ON LEFT TURN,RAINING,WET,DUSK,TRAFFIC SIGNAL,No,SUSPECTED MINOR INJURY,NOT DISTRACTED,PASSENGER CAR,MAKING LEFT TURN,West,North,35,2012,NISSAN,7.6,60.9,35.8,0
Injury Crash,09-10-2022 19:55,County,DEMOCRACY BLVD,N/A,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,STOPPED IN TRAFFIC LANE,West,West,40,2006,HONDA,1,58.3,55.3,0
Property Damage Crash,09-10-2022 19:55,Maryland (State),OLNEY SANDY SPRING RD,N/A,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,"MEDIUM/HEAVY TRUCKS 3 AXLES (OVER 10,000LBS (4,536KG))",MAKING RIGHT TURN,West,West,40,2019,MACK,9.3,85.4,45.2,0
Injury Crash,09-10-2022 20:04,Maryland (State),UNIVERSITY BLVD W,N/A,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DARK LIGHTS ON,FLASHING TRAFFIC SIGNAL,Yes,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,North,North,30,2008,TOYT,6,57.5,50.2,0
Property Damage Crash,09-10-2022 20:04,Maryland (State),UNIVERSITY BLVD W,N/A,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,Yes,NO APPARENT INJURY,UNKNOWN,PASSENGER CAR,MOVING CONSTANT SPEED,West,West,45,2011,NISSAN,1.6,56.8,53.4,0
Property Damage Crash,09-10-2022 21:00,County,INWOOD AVE,N/A,SAME DIR REAR END,CLOUDY,DRY,DARK LIGHTS ON,NO CONTROLS,Yes,NO APPARENT INJURY,UNKNOWN,PASSENGER CAR,UNKNOWN,Unknown,North,30,2010,HONDA,5.1,50,35.8,0
Property Damage Crash,09-10-2022 21:00,County,EDNOR RD,N/A,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,Yes,NO APPARENT INJURY,UNKNOWN,PASSENGER CAR,MOVING CONSTANT SPEED,East,East,30,2003,TOYT,3.5,78.7,61.5,0
Injury Crash,09-10-2022 23:03,County,RANDOLPH RD,N/A,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,Yes,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,West,West,35,2007,TOYOTA,3.1,63.3,54.3,0
Injury Crash,10-10-2022 00:17,County,SHADY GROVE RD,N/A,STRAIGHT MOVEMENT ANGLE,CLOUDY,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,POSSIBLE INJURY,NOT DISTRACTED,(SPORT) UTILITY VEHICLE,SLOWING OR STOPPING,West,West,40,2003,TOYT,5.4,63.9,61.1,0
Property Damage Crash,10-10-2022 00:17,Maryland (State),ROCKVILLE PIKE,N/A,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MAKING LEFT TURN,North,East,40,2013,MERZ,1.6,44.8,38.5,0
Property Damage Crash,10-10-2022 01:13,Maryland (State),FREDERICK RD,GAITHERSBURG,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,Yes,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,ACCELERATING,West,West,35,2014,TOYT,2.4,67.9,50.5,0
Property Damage Crash,10-10-2022 01:13,Maryland (State),MAIN ST,N/A,SAME DIR REAR END,CLEAR,WET,DAYLIGHT,NO CONTROLS,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,PASSENGER CAR,MOVING CONSTANT SPEED,West,West,30,2014,AUDI,3.3,67.5,42.8,0
Property Damage Crash,10-10-2022 01:30,County,WHITTIER BLVD,N/A,OTHER,RAINING,WET,DAYLIGHT,NO CONTROLS,Yes,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,North,North,35,2007,CORVETTE,6.7,64.7,23.7,0
Property Damage Crash,10-10-2022 06:40,County,E WAYNE AVE,N/A,STRAIGHT MOVEMENT ANGLE,N/A,DRY,DARK LIGHTS ON,STOP SIGN,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,PASSENGER CAR,ACCELERATING,West,West,25,2013,BMW,6.2,63.2,42.5,0
Property Damage Crash,10-10-2022 06:40,Municipality,KING FARM BLVD,N/A,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,YIELD SIGN,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,PASSENGER CAR,ACCELERATING,South,South,25,2017,HONDA,9.3,86.4,60.9,0
Property Damage Crash,10-10-2022 07:14,,,,SAME DIRECTION SIDESWIPE,CLEAR,,DAYLIGHT,NO CONTROLS,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,(SPORT) UTILITY VEHICLE,MOVING CONSTANT SPEED,South,South,15,2013,HOND,16.1,74,51.2,0
Property Damage Crash,10-10-2022 07:15,Maryland (State),ROCKVILLE PIKE,ROCKVILLE,SAME DIR REAR END,CLOUDY,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,NO APPARENT INJURY,NOT DISTRACTED,PICKUP TRUCK,STOPPED IN TRAFFIC LANE,South,South,40,2015,FORD,7,57.6,52.8,0
Property Damage Crash,10-10-2022 07:45,Maryland (State),GEORGIA AVE,N/A,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DUSK,TRAFFIC SIGNAL,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,STARTING FROM LANE,East,East,30,2007,VOLVO,8.1,67.6,43.6,0
Property Damage Crash,10-10-2022 07:51,Maryland (State),QUINCE ORCHARD RD,N/A,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MAKING LEFT TURN,South,West,35,2014,CHEV,7,69.5,59.4,0
Injury Crash,10-10-2022 07:51,,,,OTHER,CLOUDY,,DAYLIGHT,NO CONTROLS,No,POSSIBLE INJURY,NOT DISTRACTED,PASSENGER CAR,PARKED,,,0,2015,HONDA,9.5,83.5,53.6,0
Injury Crash,10-10-2022 08:26,Maryland (State),ROCKVILLE PIKE,N/A,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,No,POSSIBLE INJURY,NOT DISTRACTED,(SPORT) UTILITY VEHICLE,MOVING CONSTANT SPEED,North,North,40,2013,MERCEDES,3,71.5,42.5,0
Property Damage Crash,10-10-2022 08:26,,,,SAME DIRECTION SIDESWIPE,RAINING,,N/A,NO CONTROLS,Unknown,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,West,West,15,2010,HONDA,2.5,60.5,57.8,0.08
Injury Crash,10-10-2022 08:37,Maryland (State),CONNECTICUT AVE,CHEVY CHASE #4,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,OTHER,No,SUSPECTED MINOR INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,South,South,30,2004,TOYT,1.5,59.8,52.1,0
Injury Crash,10-10-2022 08:37,Government,BEACH DR,N/A,SAME DIR REAR END,CLEAR,ICE,DAYLIGHT,NO CONTROLS,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,STOPPED IN TRAFFIC LANE,North,North,25,2010,FORD,5.6,79.2,59.3,0
Injury Crash,10-10-2022 08:37,Maryland (State),GEORGIA AVE,N/A,STRAIGHT MOVEMENT ANGLE,RAINING,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,No,SUSPECTED MINOR INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,North,North,35,2009,HONDA,4.2,62.6,55.2,0
Injury Crash,10-10-2022 08:37,Maryland (State),GEORGIA AVE,N/A,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,OTHER,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,PASSENGER CAR,MOVING CONSTANT SPEED,South,South,45,2007,HOND,1.3,51.1,48.2,0
Injury Crash,10-10-2022 08:38,Interstate (State),CAPITAL BELTWAY,N/A,SAME DIR REAR END,N/A,DRY,DAYLIGHT,NO CONTROLS,No,POSSIBLE INJURY,NOT DISTRACTED,PASSENGER CAR,STOPPED IN TRAFFIC LANE,South,East,25,2008,HONDA,2,52.3,51.2,0
Property Damage Crash,10-10-2022 08:38,Maryland (State),CONNECTICUT AVE,N/A,HEAD ON LEFT TURN,N/A,DRY,DARK LIGHTS ON,NO CONTROLS,Yes,NO APPARENT INJURY,UNKNOWN,PASSENGER CAR,MAKING LEFT TURN,East,South,45,1997,HONDA,1.6,61.7,55.2,0
Property Damage Crash,10-10-2022 08:48,County,FENTON ST,N/A,SAME DIRECTION SIDESWIPE,CLOUDY,DRY,DAYLIGHT,YIELD SIGN,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,West,West,30,2007,HONDA,2.6,55,53.4,0
Injury Crash,10-10-2022 08:48,Municipality,CRAWFORD DR,ROCKVILLE,OTHER,CLOUDY,DRY,DAYLIGHT,NO CONTROLS,Yes,NO APPARENT INJURY,UNKNOWN,PASSENGER CAR,MOVING CONSTANT SPEED,East,East,25,2016,TOYOTA,6.2,49.9,49.8,0.05
Injury Crash,10-10-2022 09:45,Maryland (State),OLD GEORGETOWN RD,N/A,SAME DIR REAR END,CLOUDY,DRY,DAWN,TRAFFIC SIGNAL,No,NO APPARENT INJURY,NOT DISTRACTED,PICKUP TRUCK,STOPPED IN TRAFFIC LANE,North,North,40,2007,DODGE,6.7,75.8,57.7,0
Property Damage Crash,10-10-2022 09:45,Maryland (State),SPENCERVILLE RD,N/A,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,N/A,Yes,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,West,West,40,1997,LEXS,1,69.2,65,0
Injury Crash,10-10-2022 10:30,County,FATHER HURLEY BLVD,N/A,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,SLOWING OR STOPPING,South,South,40,2004,CHEV,4.9,61.6,51.4,0
Property Damage Crash,10-10-2022 10:30,Maryland (State),BROOKVILLE RD,MATINS ADDITION,SAME DIR REAR END,RAINING,WET,DAYLIGHT,NO CONTROLS,Yes,NO APPARENT INJURY,OTHER CELLULAR PHONE RELATED,PASSENGER CAR,SLOWING OR STOPPING,North,North,30,2009,TOYOTA,3,46.5,24.9,0
Property Damage Crash,10-10-2022 11:22,Maryland (State),RIDGE RD,N/A,ANGLE MEETS LEFT HEAD ON,RAINING,WET,DARK LIGHTS ON,STOP SIGN,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,PASSENGER CAR,STARTING FROM LANE,South,West,40,2015,NISS,2.1,53.6,29,0
Injury Crash,10-10-2022 11:22,Maryland (State),HUNGERFORD DR,ROCKVILLE,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,Yes,NO APPARENT INJURY,NOT DISTRACTED,(SPORT) UTILITY VEHICLE,SLOWING OR STOPPING,North,North,35,2013,TOYOTA,1.7,31.5,26.6,0
Injury Crash,10-10-2022 11:22,Maryland (State),QUINCE ORCHARD RD,N/A,SAME DIR REAR END,N/A,DRY,DARK LIGHTS ON,N/A,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,STOPPED IN TRAFFIC LANE,West,West,35,2012,FORD,3.4,71.2,59.5,0
Property Damage Crash,10-10-2022 11:52,County,BRIGGS CHANEY RD,N/A,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,No,NO APPARENT INJURY,NOT DISTRACTED,(SPORT) UTILITY VEHICLE,SLOWING OR STOPPING,West,West,35,2013,SUBA,6.5,64.7,41.5,0
Property Damage Crash,10-10-2022 11:52,Maryland (State),UNIVERSITY BLVD E,N/A,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,NO APPARENT INJURY,NOT DISTRACTED,"OTHER LIGHT TRUCKS (10,000LBS (4,536KG) OR LESS)",SLOWING OR STOPPING,West,West,40,2001,TOYT,4.8,76.8,49.7,0
Property Damage Crash,10-10-2022 12:01,Municipality,GILBERT RD,ROCKVILLE,OTHER,CLEAR,DRY,DAYLIGHT,NO CONTROLS,Yes,NO APPARENT INJURY,UNKNOWN,PASSENGER CAR,MOVING CONSTANT SPEED,East,East,25,2013,CHEV,2,57.9,56.4,0
Injury Crash,10-10-2022 12:01,Maryland (State),UNIVERSITY BLVD E,N/A,SAME DIR REAR END,RAINING,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,Yes,NO APPARENT INJURY,INATTENTIVE OR LOST IN THOUGHT,PASSENGER CAR,MOVING CONSTANT SPEED,South,South,35,2003,TOYOTA,1.6,68.8,42.8,0
Injury Crash,10-10-2022 13:30,Maryland (State),VEIRS MILL RD,N/A,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,POSSIBLE INJURY,NOT DISTRACTED,PASSENGER CAR,STOPPED IN TRAFFIC LANE,West,West,45,1999,ACURA,3.9,75.6,68.8,0
Property Damage Crash,10-10-2022 13:52,,,,STRAIGHT MOVEMENT ANGLE,CLEAR,,DAYLIGHT,N/A,Yes,NO APPARENT INJURY,UNKNOWN,PASSENGER CAR,BACKING,Unknown,Unknown,0,2011,TOYOTA,1.7,46.1,39,0
Property Damage Crash,10-10-2022 13:52,,,,SINGLE VEHICLE,RAINING,,DARK LIGHTS ON,NO CONTROLS,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,"CARGO VAN/LIGHT TRUCK 2 AXLES (OVER 10,000LBS (4,536 KG))",BACKING,Unknown,Unknown,5,2014,CHEVROLET,3.9,63.4,44.1,0
Property Damage Crash,10-10-2022 13:52,,,,SINGLE VEHICLE,N/A,,DARK LIGHTS ON,N/A,Yes,NO APPARENT INJURY,NOT DISTRACTED,FIRE VEHICLE/NON EMERGENCY,BACKING,East,East,5,2007,PIERCE,2.8,82.2,68.8,0
Property Damage Crash,10-10-2022 13:53,Maryland (State),COLESVILLE RD,N/A,SAME DIR REAR END,CLOUDY,DRY,DAYLIGHT,NO CONTROLS,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,STOPPED IN TRAFFIC LANE,West,West,35,2013,HONDA,2.8,61.4,51.3,0
Property Damage Crash,10-10-2022 13:53,County,OAKVIEW DR,N/A,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,Yes,NO APPARENT INJURY,NOT DISTRACTED,TRANSIT BUS,MAKING RIGHT TURN,West,South,30,2011,GILLIG,1.9,58,53,0
Property Damage Crash,10-10-2022 14:44,Maryland (State),FREDERICK RD,N/A,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,CHANGING LANES,East,North,45,2008,CHEVROLET,2.3,70.8,51.9,0
Property Damage Crash,10-10-2022 14:44,Maryland (State),GEORGIA AVE,N/A,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,Yes,NO APPARENT INJURY,INATTENTIVE OR LOST IN THOUGHT,PASSENGER CAR,MOVING CONSTANT SPEED,South,South,40,2000,CHEV,5.4,56.1,26.3,0
Property Damage Crash,10-10-2022 14:47,Maryland (State),OLNEY SANDY SPRING RD,N/A,STRAIGHT MOVEMENT ANGLE,CLEAR,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,East,East,30,2013,HYUNDAI,2.2,59.7,56,0
